curve_id,arc_length,curvature_mean,curvature_max,curvature_std,curvature_median,curvature_q95,slope_mean,slope_std,angle_mean,angle_std,angle_range,direction_changes,speed_mean,speed_std,speed_min,speed_max,speed_cv,n_maxima,n_minima,n_inflection,n_extrema,type
23,246.94952686470276,0.02542194618672058,0.08703790864220409,0.020829587183878506,0.018532408445258206,0.06732728615184425,0.1484713047664363,0.5456107157269783,6.409168683758208,27.02545836441983,81.64256082823371,3,0.030874317138844965,0.008386223628167464,0.01840232145643079,0.05060275091356478,0.2716245865602066,2,1,8,3,abierta_compleja
24,185.21622618241085,0.025549690631577207,0.08809004146710113,0.022666037268181394,0.018491475205482437,0.07369212442769854,0.10742996458117557,0.8607773533708901,8.65285661235772,33.57550859505346,115.69978283839902,1,0.023155261731301367,0.004766417454539328,0.01413668826692589,0.030804775549552726,0.20584597616947115,1,0,8,1,abierta_compleja
25,231.33322259504888,0.01714182716581189,0.0865397543351605,0.016886428131242557,0.011634167857068117,0.05075021499181362,0.26666928317173527,0.47840355307187343,12.717448678444578,23.92327460496223,72.52569681863879,3,0.02891974139784737,0.004914535913969137,0.020971613788813376,0.041185524679063834,0.1699370629342816,2,1,6,3,abierta_compleja
26,276.6694114320642,0.027439738270976285,0.09886233221753753,0.021424533536103022,0.022376676359854197,0.0661309397932086,0.19664233877220355,0.6705324714369297,8.317980696899655,29.97024724111166,110.7862213946134,5,0.03458813137964877,0.006812026056892411,0.023670911347191348,0.05300313307620352,0.19694692327034824,3,2,10,5,abierta_compleja
27,355.0739625838113,0.02471844942266446,0.11736271437790007,0.02319060876135103,0.017953649316401407,0.06818908730791996,0.06335921886310482,0.5815942185948075,1.4921869630112532,26.964208219118696,91.40895165147933,9,0.044390867610770934,0.014017656823043215,0.024164959959635506,0.08189205805944376,0.3157779421198335,5,4,12,9,abierta_compleja
28,161.5687565187106,0.01721788210977847,0.044259470212383495,0.014784906260787344,0.012634515252272962,0.04284813076295359,0.47671234563412657,0.5583031467085271,20.776775060116613,24.615705592059207,68.45243974873065,2,0.020199028552917313,0.0032839266178785616,0.014498483105837531,0.027948663730428796,0.162578443278861,1,1,5,2,abierta_compleja
29,326.3899856207769,0.04667345172730118,0.3277242512664436,0.0525516564782096,0.027277624943992808,0.14052170506478132,0.06628446183781199,0.6671292155670334,4.85088507762562,30.23160991907363,103.40349743226929,9,0.04080162383433962,0.011958909905673488,0.018759694666693603,0.06714185001672013,0.2930988716093349,4,5,12,9,abierta_compleja
30,349.2968488034004,0.029895831744434158,0.17193909437688729,0.030262315260187442,0.020666983097411565,0.08606372257779955,0.14064871997078535,0.7740155548548825,5.218840227931475,32.35033153105364,122.48112582188818,7,0.043666792563238174,0.012451139683651517,0.024362718600681555,0.0765494762247689,0.28513978134803003,4,3,14,7,abierta_compleja
31,95.77858934757674,0.013306942442261055,0.05164148760700266,0.011613296479532235,0.010095959828074041,0.04142423108499818,0.9721843765452259,0.3038355587475165,42.82032154554106,9.5554337366305,32.022072848011334,0,0.011973619172211056,0.0016344128162236898,0.009709675754237212,0.015251825268876053,0.1365011524683291,0,0,3,0,monotonica
32,83.50301995221415,0.03050501236456112,0.07957464930531669,0.026814973308352145,0.020409184001031123,0.07613829493079582,0.18234081900812069,0.8947769927887139,5.1850205471492705,37.688622151568616,103.01113197115878,1,0.010439831119655765,0.0039057113381509865,0.005351077164126223,0.01696826479856039,0.3741163332419663,1,0,2,1,abierta_compleja
33,71.78580047061799,0.014477369514871965,0.04443984509772136,0.01246549369050719,0.01120178162960327,0.04295514894636023,0.9027700492310511,0.5532638615863847,37.9334674389783,15.140865902160305,43.431397482138564,0,0.008974623108680812,0.001781932596759249,0.00645259832991419,0.011577745810753479,0.19855235982396333,0,0,3,0,monotonica
34,292.26745497268246,0.022692923344077895,0.16166759157069455,0.028557410977204677,0.012358454794679861,0.07283945546447816,0.036806839899043445,0.6485325910538046,0.24771274120619916,28.543897620787316,105.57611884985727,5,0.03653960617269009,0.010152394782086217,0.021509788037281898,0.05741775258589189,0.2778463110441014,3,2,8,5,abierta_compleja
35,247.1639378542403,0.03074029174705441,0.17969583523134153,0.03685191439751345,0.016864679583292016,0.12677120644299225,0.38684399601517294,0.675168053857179,16.534563181204366,28.149958108968843,106.92583422784313,6,0.03089959679514015,0.00680514993943924,0.018432880631945862,0.047512755933803746,0.2202342633969109,3,3,9,6,abierta_compleja
36,244.04075621023475,0.027287359234715616,0.13354395762192423,0.027790223032889017,0.018140915713498296,0.08628333613573184,0.30274617190395237,0.48121949398100766,14.469965458088426,22.06807214453532,88.7777974080791,3,0.03050944707309959,0.006997109241678137,0.018254437118398793,0.050634994490922604,0.2293423812274704,2,1,10,3,abierta_compleja
