curva,mejor_metodo,r2_mejor,r2_gauss,r2_spline,n_campanas,c,n_knots,A_1,mu_1,sigma_1,A_2,mu_2,sigma_2
226,spline,0.999542,0.998632,0.999542,8,22.060659,15,7.1141,13.268908,8.63304,21.869113,41.534567,14.513588
227,polinomio,1.0,1.0,0.999984,8,-20.983616,2,15.63466,14.979532,13.226125,0.008057,19.41147,2.000658
228,gaussianas,0.999975,0.999975,0.999555,8,-50.378154,11,67.650476,28.059371,23.99162,39.361652,60.293913,15.857962
229,spline,0.999529,0.999454,0.999529,8,7.89363,16,48.251781,53.318282,29.307691,34.239347,74.249121,12.578718
230,polinomio,1.0,0.999999,0.999821,8,-23.293725,2,32.050259,10.312005,10.495683,53.186376,29.793732,11.157784
231,gaussianas,0.999881,0.999881,0.999732,8,-13.947859,12,69.456477,51.739963,23.818018,30.701124,73.460418,14.726101
232,gaussianas,1.0,1.0,0.999588,8,-44.328733,6,25.021859,12.263622,6.701106,11.073026,21.67306,5.484831
233,polinomio,1.0,0.999976,0.999841,8,24.950297,2,4.087677,14.742917,11.447665,7.70533,52.439722,15.835241
234,gaussianas,0.999992,0.999992,0.999768,8,1.838207,13,14.764286,30.833025,15.684315,62.555621,88.356193,33.798394
235,gaussianas,0.999929,0.999929,0.999622,8,23.869411,14,30.167656,41.239962,17.042726,19.792753,47.987808,7.41591
236,gaussianas,0.999719,0.999719,0.998974,8,20.987094,15,11.174357,62.476034,17.630502,21.02519,86.694992,12.686024
237,polinomio,0.999997,0.999992,0.999798,8,-1.265751,7,12.719897,23.606006,11.657797,1.054462,27.689563,4.258542
238,spline,0.999129,0.997396,0.999129,8,21.008543,17,46.621269,42.295283,20.023471,4.14811,66.082769,5.726054
239,gaussianas,0.999998,0.999998,0.999493,8,-29.391369,11,5.932701,10.952159,12.9452,0.851451,49.842326,5.414926
240,gaussianas,0.999744,0.999744,0.999352,8,-20.411902,16,14.6165,27.757831,17.666795,56.162506,42.585158,74.840385
241,gaussianas,0.999958,0.999958,0.999677,8,-6.465221,12,12.454515,25.163631,12.216909,37.941711,68.108934,22.105459
242,polinomio,1.0,1.0,0.999112,8,-2.345767,2,2.814621,10.982262,5.100167,19.7799,5.625387,7.936015
243,polinomio,1.0,0.99998,0.999424,8,-19.592947,3,31.830801,11.228991,6.678775,42.63474,24.388623,8.54565
244,spline,0.999313,0.998111,0.999313,8,-19.785797,19,79.745341,28.479801,17.616873,78.852999,67.160021,21.97541
245,gaussianas,0.99988,0.99988,0.999295,8,-6.67777,17,63.273756,28.751214,20.353911,29.14148,66.977875,13.218184
246,gaussianas,0.999994,0.999994,0.99963,8,34.961241,9,2.903776,22.666775,8.659278,9.219903,56.629504,13.418184
247,gaussianas,0.999862,0.999862,0.999668,8,0.395879,14,6.676175,24.359325,9.74055,16.582626,57.069869,13.05781
248,gaussianas,0.999702,0.999702,0.999544,8,17.694357,17,21.246894,38.835041,9.886735,19.751283,57.965778,10.454855
249,gaussianas,0.999883,0.999883,0.998998,8,-21.242767,12,82.556575,31.123479,20.647033,3.152,46.212648,7.071245
250,gaussianas,0.999974,0.999974,0.99969,8,25.87629,12,30.948921,27.03967,10.034321,4.175367,43.102133,6.079092
251,spline,0.999569,0.999232,0.999569,8,28.652344,14,22.798302,27.318131,10.549026,23.007076,55.093264,20.031011
252,gaussianas,0.999217,0.999217,0.998764,8,23.303341,17,15.486643,20.183003,13.460651,50.082712,55.76131,14.495668
253,gaussianas,0.999643,0.999643,0.999557,8,-60.579576,13,45.660436,21.212661,12.793037,132.966477,49.558867,24.404357
254,spline,0.999761,0.998774,0.999761,8,-39.803101,21,69.516983,27.508956,22.036069,15.817429,56.906338,12.742613
255,gaussianas,0.999799,0.999799,0.999683,8,-40.76339,13,29.956472,21.646911,13.597944,50.057316,51.711647,23.897248
256,gaussianas,0.999989,0.999989,0.999561,8,-10.960759,13,10.038099,23.38772,9.636617,2.970417,43.360015,6.460498
257,spline,0.999386,0.997873,0.999386,8,5.792207,18,54.626282,34.044075,22.357991,47.051379,84.369822,17.706781
258,gaussianas,0.999983,0.999983,0.999826,8,-6.409937,7,21.840294,34.859153,16.566337,31.861661,63.254274,19.907567
259,polinomio,0.999998,0.999978,0.999523,8,28.859523,5,4.954006,5.41362,6.335527,4.17006,32.377931,7.286047
260,spline,0.999543,0.999507,0.999543,8,-49.086332,17,6.52631,22.368322,8.95782,75.822828,44.272037,55.001035
261,gaussianas,1.0,1.0,0.998163,7,11.35647,8,9.439207,13.759848,6.581927,45.958146,33.609465,15.009929
262,gaussianas,0.999871,0.999871,0.999385,8,-6.297482,16,5.425364,23.485837,5.663619,12.430632,40.363426,10.220586
263,gaussianas,0.999918,0.999918,0.999712,7,-3.230649,13,12.986508,36.185705,16.608406,4.569159,74.627281,7.182569
264,gaussianas,0.999988,0.999988,0.99971,8,-44.59264,10,22.300237,19.016562,13.373453,60.274184,45.512551,19.050783
265,gaussianas,0.99996,0.99996,0.99961,8,-6.899711,12,9.428488,38.399375,6.922775,42.482992,52.840749,28.788978
266,polinomio,0.999993,0.999964,0.999753,8,5.788966,5,7.748431,31.549995,10.357054,31.381642,50.061704,16.432059
267,gaussianas,0.999999,0.999999,0.999391,8,-9.841659,7,0.728989,28.664029,6.960335,22.838147,56.671651,18.601988
268,gaussianas,0.999786,0.999786,0.999418,8,-15.218525,11,0.674629,28.666656,7.108063,5.818089,50.05425,10.860719
269,gaussianas,0.999885,0.999885,0.999652,8,-81.805124,17,8.617983,48.675042,7.955542,100.611093,37.379925,56.153412
270,spline,0.999632,0.998263,0.999632,6,12.95752,17,18.486557,47.714666,15.273854,56.393297,92.630808,31.287919
271,gaussianas,0.999745,0.999745,0.999454,8,12.006622,18,22.782725,12.678427,11.71557,50.666418,35.414233,16.294754
272,gaussianas,1.0,1.0,0.999736,8,-71.096815,7,19.372188,11.026497,13.075334,18.203782,25.014117,9.553231
273,gaussianas,0.999998,0.999998,0.999634,8,-63.925944,8,41.478863,17.37618,9.726435,21.012941,30.264104,10.105356
274,spline,0.999762,0.999536,0.999762,8,-29.441,19,27.846932,30.310748,27.873633,69.950436,67.203887,21.914347
275,gaussianas,1.0,1.0,0.999854,8,-1.057335,5,6.112428,29.859163,9.015357,8.259027,11.346829,14.009701
276,gaussianas,0.999992,0.999992,0.999384,8,29.241353,10,2.713057,13.828913,11.062034,4.193204,39.108858,6.630905
277,gaussianas,0.999961,0.999961,0.999693,8,-64.895351,10,46.960942,14.735295,15.720293,89.981721,45.002302,24.451398
278,gaussianas,0.999996,0.999996,0.998426,8,21.550209,10,32.81062,35.028491,24.484497,4.187957,40.945583,7.752166
279,gaussianas,1.0,1.0,0.999674,8,-28.449912,8,33.315442,28.55297,22.070384,2.735159,38.914374,5.591849
280,spline,0.99977,0.999737,0.99977,8,-60.237725,16,3.565764,31.052422,13.220221,15.641745,79.414724,20.65661
281,polinomio,1.0,0.999986,0.999766,8,0.047142,5,8.493353,23.844189,10.638036,19.650318,38.628769,8.901376
282,gaussianas,0.999831,0.999831,0.999618,8,0.924004,10,0.027999,16.376344,45.176735,22.135112,44.267309,9.535071
283,gaussianas,0.999662,0.999662,0.99951,8,-41.647825,17,3.510074,49.127033,8.974355,41.180546,50.183154,37.10735
284,gaussianas,0.999945,0.999945,0.999518,8,-64.677528,14,37.861001,25.958918,14.049238,42.805433,55.323408,15.152572
285,polinomio,0.999999,0.999943,0.999556,8,-8.464849,3,13.144403,11.084018,8.013232,17.827094,21.466674,12.221076
286,polinomio,0.999995,0.999973,0.999741,8,-10.407666,5,17.433547,27.054611,11.590754,54.164219,46.808647,10.454133
287,spline,0.999698,0.99869,0.999698,8,14.680012,18,16.233045,26.495957,16.943454,0.0,6.599829,274.758792
288,polinomio,1.0,1.0,0.999673,7,-19.031692,3,25.818512,4.407998,16.587055,52.742217,33.351446,15.608661
289,gaussianas,0.999999,0.999999,0.999814,8,-5.088056,12,8.883918,20.306861,13.283861,10.781793,35.31799,8.232667
290,gaussianas,0.999643,0.999643,0.999593,8,24.675064,12,4.05724,21.094135,10.901468,7.076871,46.725461,15.084448
291,gaussianas,0.999979,0.999979,0.999693,8,-59.878786,11,14.134258,27.805181,10.512317,3.537511,39.343924,5.060637
292,gaussianas,0.999831,0.999831,0.99981,8,-15.417206,13,14.477839,25.570326,13.527903,31.621865,45.7741,18.987799
293,polinomio,0.999991,0.999989,0.99972,8,-2.638309,5,4.589289,23.468984,4.233196,36.933279,32.24577,11.361123
294,gaussianas,1.0,1.0,0.999376,8,28.454969,8,13.793107,22.509667,14.158878,1.36824,30.399033,5.729208
295,gaussianas,0.999999,0.999999,0.99989,8,3.514874,10,7.716567,32.998583,17.231099,1.124045,51.939519,9.126826
296,gaussianas,0.999989,0.999989,0.999641,8,-19.895499,8,57.762908,39.311872,20.679542,20.928288,60.214712,16.813058
297,gaussianas,0.999964,0.999964,0.998653,8,22.674703,10,20.712369,18.108495,15.36781,1.985986,86.730175,7.593484
298,spline,0.999636,0.999561,0.999636,8,5.130233,15,3.201582,22.973353,6.178177,45.719566,49.331421,15.858093
299,polinomio,1.0,0.99997,0.999404,8,25.309454,2,19.337896,20.126524,10.913305,21.413163,35.910974,9.342356
300,gaussianas,0.999688,0.999688,0.999461,8,-10.175733,17,53.491808,32.933472,16.73482,53.68124,64.693403,16.022655
301,gaussianas,0.999968,0.999968,0.999167,8,17.107942,12,17.378583,11.625821,8.161466,11.28817,24.036669,10.463624
302,polinomio,1.0,1.0,0.99932,8,-4.108911,3,15.372165,10.128018,13.096055,30.572979,29.630941,13.004883
303,gaussianas,0.999964,0.999964,0.999558,8,34.434051,9,1.5,20.836535,8.62596,23.240813,58.817782,11.782266
304,polinomio,1.0,0.999875,0.998703,8,-9.406113,5,34.032815,20.47211,11.565397,51.669132,43.536501,16.029128
305,gaussianas,0.999876,0.999876,0.999645,8,-58.953758,12,93.144902,22.257347,19.713785,6.412272,32.957735,5.623518
306,polinomio,1.0,0.999992,0.999435,8,-11.317043,3,23.485367,20.234891,12.267714,32.225342,37.802648,10.26272
307,spline,0.999273,0.994237,0.999273,8,34.864454,19,19.655669,47.784153,11.492803,10.403382,59.295486,6.511318
308,spline,0.999292,0.998955,0.999292,8,-19.714625,14,18.783845,14.916264,10.984533,57.213308,36.532243,19.715944
309,gaussianas,0.999999,0.999999,0.999665,8,6.329173,10,26.471793,16.825573,13.763472,0.439775,25.556088,3.094717
310,gaussianas,1.0,1.0,0.999697,8,5.704411,5,7.601433,15.350032,13.608814,2.931256,24.527211,7.308848
311,spline,0.999543,0.999426,0.999543,8,26.266856,11,22.056026,16.211935,9.289848,35.936265,54.258677,16.164734
312,polinomio,1.0,0.999998,0.999945,8,11.030869,2,17.475492,26.31434,11.481476,20.619199,45.158135,9.84512
313,gaussianas,1.0,1.0,0.999691,8,23.032297,4,1.353217,14.236454,19.129963,0.759764,23.625592,4.871333
314,gaussianas,0.999891,0.999891,0.999469,8,-32.313103,13,14.184501,12.268597,8.554394,28.779835,20.795058,13.183658
315,spline,0.999671,0.999472,0.999671,8,12.035053,15,10.384534,30.261352,18.051314,1.5,47.587405,5.407533
316,spline,0.999685,0.99961,0.999685,8,-25.725461,16,77.17622,64.579125,36.171859,8.139338,71.085005,9.043983
317,gaussianas,0.999999,0.999999,0.998868,8,9.289808,4,26.146529,27.02387,13.70871,1.302451,29.593125,5.226586
318,gaussianas,0.999995,0.999995,0.99972,8,28.907078,8,2.648358,4.01504,5.485809,3.194076,35.115811,6.619772
319,gaussianas,0.99995,0.99995,0.999635,8,-33.188398,17,50.811926,11.907901,19.715357,7.402441,59.455451,6.280967
320,gaussianas,0.999989,0.999989,0.999783,8,8.862703,7,3.852494,10.15014,4.195409,18.749729,22.974578,8.705726
321,polinomio,0.999811,0.999493,0.999121,8,27.942429,11,6.325991,10.762084,8.676939,6.183197,61.363205,9.235033
322,gaussianas,0.999796,0.999796,0.99966,8,-9.603946,16,32.03414,18.273404,37.065936,45.582352,103.654397,18.691584
323,gaussianas,0.999933,0.999933,0.999319,8,-23.724178,11,49.252517,6.349556,78.710351,13.092926,47.339357,18.088748
324,gaussianas,0.999963,0.999963,0.999577,8,-38.940616,12,14.442562,25.120372,10.702142,93.289161,50.43132,34.325237
325,gaussianas,1.0,1.0,0.999825,8,25.332536,10,0.767161,17.504607,5.841244,4.939431,43.976924,8.447761
326,gaussianas,0.999969,0.999969,0.999605,6,-12.098325,11,25.351098,20.904058,13.735646,17.489072,41.629355,10.992968
327,gaussianas,0.999956,0.999956,0.999467,8,23.817279,9,9.502488,28.043611,8.200343,2.7636,38.247065,5.007634
328,gaussianas,0.999907,0.999907,0.999708,8,-83.530999,18,45.076644,39.01439,21.595642,5.811346,71.083159,13.929927
329,spline,0.999608,0.999603,0.999608,8,5.356921,15,7.926909,18.652847,8.338184,12.560557,37.835973,9.06032
330,gaussianas,0.999953,0.999953,0.999597,8,-8.402268,12,64.362432,64.162796,26.518293,7.003963,55.1955,6.379948
331,gaussianas,0.999901,0.999901,0.999659,8,-2.78956,14,25.748575,34.345953,34.245671,7.659016,63.66424,10.185577
332,gaussianas,0.999765,0.999765,0.99911,8,-47.702392,17,38.036245,15.510076,17.01596,6.731094,66.01168,7.105266
333,gaussianas,0.999898,0.999898,0.999672,7,-62.169901,17,104.586718,41.111824,39.760919,58.311295,85.354688,24.379711
334,gaussianas,0.999761,0.999761,0.999455,8,25.753588,18,42.538523,49.844679,16.216257,13.963876,61.589639,6.654119
335,spline,0.999517,0.999446,0.999517,8,28.218933,13,9.583236,27.855206,6.471715,13.736124,39.280268,11.198321
336,polinomio,1.0,0.999999,0.999959,8,7.492178,2,31.707066,11.524273,7.812921,31.23368,22.927682,6.628657
337,gaussianas,0.999851,0.999851,0.999333,8,-21.798054,18,72.051426,40.229723,30.226016,71.047404,84.905306,21.095945
338,gaussianas,0.999987,0.999987,0.999591,8,13.711754,10,1.482862,5.302054,5.699779,15.748196,53.779063,12.382464
339,gaussianas,0.999973,0.999973,0.999702,8,17.851743,11,1e-06,4.943529,82.339395,15.354708,39.841105,11.450762
340,spline,0.999753,0.999021,0.999753,8,0.627533,25,30.245806,80.160305,12.089666,47.658151,55.82547,15.273944
341,gaussianas,0.999995,0.999995,0.99951,8,9.445895,9,18.71532,11.634152,11.22926,27.970064,30.980462,14.618369
342,gaussianas,0.999903,0.999903,0.999243,8,4.223099,12,17.375521,27.567644,12.795975,63.112659,53.851913,20.331018
343,gaussianas,0.999577,0.999577,0.999464,8,15.985145,21,12.293461,47.818255,9.353249,22.740127,61.219476,18.564787
344,polinomio,1.0,0.999997,0.999108,8,-17.63016,4,22.891451,17.925668,15.755863,46.836513,41.761746,12.840249
345,gaussianas,0.999924,0.999924,0.999526,7,17.576522,13,0.53573,39.044826,6.303289,16.90487,49.274594,22.045309
346,gaussianas,0.999909,0.999909,0.999767,8,-10.798997,13,7.163695,21.724326,8.356459,47.678981,52.134744,15.399569
347,gaussianas,0.999901,0.999901,0.99966,7,21.832053,15,8.236666,66.237668,8.795035,14.746099,48.424979,10.971391
348,gaussianas,1.0,1.0,0.999745,8,-9.148334,8,2.13477,27.386985,11.728499,0.108609,51.814995,3.756399
349,gaussianas,0.999846,0.999846,0.999476,7,15.239076,17,14.673757,26.420288,12.230617,28.184581,53.10633,38.890768
350,gaussianas,0.999944,0.999944,0.99979,8,32.041037,12,2.101363,15.264342,3.830213,7.350869,44.25579,6.93716
351,gaussianas,0.999775,0.999775,0.999255,8,-35.033139,14,83.346827,43.434911,31.071985,3.7634,51.192614,8.274465
352,gaussianas,0.99982,0.99982,0.999727,8,16.23235,13,0.0,46.927707,55.600512,36.329541,55.677931,14.161637
353,gaussianas,0.999905,0.999905,0.999281,8,-19.600024,15,64.03566,37.213083,32.418778,9.186267,49.931725,9.107085
354,gaussianas,0.999984,0.999984,0.998868,8,17.001325,10,37.660758,31.541281,11.537702,0.690943,44.085103,4.740861
355,gaussianas,0.999627,0.999627,0.999479,8,-27.434954,17,82.591805,46.843298,33.761796,0.945415,77.021224,4.783269
356,gaussianas,0.999734,0.999734,0.999431,8,-59.694019,16,37.03397,11.770485,15.045202,133.051436,54.772275,34.093974
357,gaussianas,0.999868,0.999868,0.999519,8,32.192928,14,5.805483,30.113623,8.229704,16.158903,49.875295,13.721105
358,polinomio,1.0,0.999988,0.998878,8,-10.017526,5,2.505724,7.903663,8.296282,36.171932,32.570367,18.275464
359,gaussianas,0.999778,0.999778,0.999369,8,12.672215,11,59.240174,29.48468,17.066355,5.479923,49.019329,5.5638
360,polinomio,0.999934,0.999912,0.962293,8,27.403797,6,7.831076,3.953244,5.71304,0.793464,10.555351,2.257401
361,polinomio,0.999999,0.999989,0.999812,8,10.006309,5,8.916634,33.763664,19.775572,14.416841,57.760007,14.949093
362,gaussianas,0.999974,0.999974,0.999732,8,-7.313287,8,10.071462,17.069559,11.853533,43.808757,42.438283,16.841743
363,spline,0.999862,0.999817,0.999862,8,-0.268327,18,17.847774,33.042454,10.613851,26.221388,56.244122,11.010923
364,spline,0.999716,0.999545,0.999716,8,-94.192116,17,58.018888,10.538009,16.56959,149.442796,54.930346,33.066084
365,gaussianas,0.999997,0.999997,0.999157,8,17.461167,8,1.262774,9.647456,4.894557,41.995494,27.486985,15.618551
366,gaussianas,1.0,1.0,0.999448,8,-12.170009,4,56.249691,34.025884,15.627138,2.44776,36.086124,5.450085
367,gaussianas,0.999785,0.999785,0.998624,8,30.965993,10,5.27363,14.518785,8.61881,23.561808,34.958286,13.352052
368,spline,0.999638,0.999091,0.999638,8,2.903248,17,4.13088,28.324008,6.585888,56.623189,64.173159,19.986285
369,gaussianas,0.999999,0.999999,0.998785,8,20.918586,7,2.974986,20.142236,8.108089,7.332649,31.447619,14.541975
370,spline,0.999567,0.999558,0.999567,8,10.342122,18,29.836417,26.059681,15.716159,44.025766,54.736367,14.774536
371,spline,0.999788,0.999374,0.999788,8,-46.550846,18,67.161123,16.685011,25.487936,82.445908,74.913296,26.742359
372,polinomio,0.999993,0.999991,0.999691,8,10.381359,5,17.666748,22.372147,16.698041,21.409572,50.348809,14.147009
373,gaussianas,0.999995,0.999995,0.999501,8,2.39956,9,7.231283,51.184406,10.816182,9.024002,70.511654,10.911247
374,polinomio,1.0,0.999954,0.999659,8,-9.471761,4,29.932373,20.679347,13.583338,43.504609,40.996306,12.091387
375,gaussianas,0.999923,0.999923,0.999764,8,-10.216933,12,32.618055,29.086826,13.548834,48.41973,52.325705,13.675202
376,gaussianas,0.999854,0.999854,0.999566,8,-26.744215,13,66.321588,43.415809,21.261567,1.380017,54.076218,3.277653
377,polinomio,0.999999,0.999995,0.999598,8,-13.750365,4,39.956207,26.846815,17.167845,41.904173,49.008651,13.641556
378,gaussianas,0.999506,0.999506,0.997773,8,30.935841,11,1e-06,16.389914,82.679532,13.173508,48.845171,7.475678
379,gaussianas,0.999763,0.999763,0.999715,8,16.856701,16,24.148383,26.004031,14.428846,19.619015,54.091154,8.029341
380,polinomio,0.999984,0.999952,0.999534,8,9.407521,9,7.801664,31.694304,10.788823,40.131316,90.871294,24.402781
381,gaussianas,0.999922,0.999922,0.999614,8,14.837906,18,7.222255,24.389062,5.937687,10.196879,45.749253,10.819377
382,gaussianas,0.999979,0.999979,0.999768,8,-53.607893,14,5.400705,9.528184,5.683076,28.596626,12.361615,12.657708
383,gaussianas,0.999987,0.999987,0.999644,8,-52.238343,9,13.574699,40.608846,17.233806,4.429391,38.761485,5.469638
384,polinomio,0.999941,0.999935,0.999519,8,7.577301,8,4.881751,18.413722,9.913848,7.165765,34.084852,7.426783
385,polinomio,0.999999,0.999992,0.996274,8,35.929852,2,0.146246,14.014328,4.045105,2.298801,29.860315,7.027251
386,polinomio,1.0,1.0,0.999868,8,-7.352233,4,0.506667,16.625367,4.081809,1.394714,31.199276,5.766632
387,spline,0.99928,0.998805,0.99928,8,19.682782,22,48.482512,40.895798,20.63804,14.012583,61.69462,9.031876
388,gaussianas,0.99993,0.99993,0.999116,8,-39.279145,12,39.428262,13.081869,17.192741,99.030022,52.863278,27.093132
389,spline,0.999611,0.999422,0.999611,8,-36.877719,21,12.036197,32.363446,9.493578,93.807229,40.356698,38.056227
390,gaussianas,1.0,1.0,0.994618,8,20.025737,6,9.619627,17.182732,6.047127,10.787929,25.232767,5.919534
391,spline,0.999338,0.995793,0.999338,8,6.208459,17,23.351042,23.289212,15.405873,58.714698,60.483931,22.683818
392,gaussianas,0.999958,0.999958,0.9996,8,-49.049993,13,47.017029,7.045691,14.10923,42.447556,38.648719,17.504109
393,spline,0.999639,0.999282,0.999639,8,-59.621235,20,96.214212,31.311999,28.778213,56.293099,75.349651,11.672241
394,gaussianas,0.999995,0.999995,0.999655,8,34.615121,8,2.926765,16.634166,6.55943,0.781092,29.949568,5.263019
395,gaussianas,1.0,1.0,0.999166,8,-15.350129,6,32.109323,6.284105,17.167193,6.531442,20.698726,10.515496
396,polinomio,1.0,0.999987,0.999628,8,24.753715,2,0.819498,22.825889,6.859244,5.038157,41.762284,10.592593
397,gaussianas,0.999989,0.999989,0.999659,8,-39.027789,10,6.85776,19.739884,7.800338,87.981549,47.108653,41.55639
398,gaussianas,0.999735,0.999735,0.999342,8,12.249476,13,22.275024,29.592347,12.823898,22.865815,54.103989,25.511732
399,gaussianas,0.999942,0.999942,0.99974,8,-15.193426,12,46.76828,81.127512,44.164496,2.087885,78.961038,7.559957
400,gaussianas,1.0,1.0,0.999459,7,-21.097483,4,4.781791,8.123316,6.948264,30.621204,29.377242,11.733072
401,spline,0.999753,0.99958,0.999753,8,15.537036,19,24.071766,22.794011,10.126151,37.901561,44.972474,20.185412
402,gaussianas,0.999843,0.999843,0.999706,8,-6.805561,18,19.19385,24.002006,8.415383,38.726613,40.233982,14.249434
403,gaussianas,0.999872,0.999872,0.999476,8,-15.882496,14,16.336463,5.244329,15.880511,100.168036,54.805423,33.772167
404,gaussianas,1.0,1.0,0.999857,8,-19.930643,6,40.691258,26.297794,9.030879,0.678753,33.134664,2.633401
405,gaussianas,1.0,1.0,0.999751,8,-1.788838,5,5.130125,15.109087,8.911626,13.573248,29.276374,10.577228
406,spline,0.999611,0.998752,0.999611,8,15.14347,17,5.820145,35.480757,10.84604,5.198435,62.917342,18.370706
407,spline,0.99964,0.998061,0.99964,8,17.251765,15,8.969188,35.375937,12.799202,69.291272,81.616024,34.465064
408,polinomio,1.0,0.9999,0.99982,8,23.559861,2,4.660405,4.184149,3.954804,1.079443,25.347659,3.394631
409,gaussianas,0.999969,0.999969,0.998937,8,29.537012,12,1.240988,33.298456,6.092197,2.593502,22.508892,9.898637
410,gaussianas,1.0,1.0,0.999462,8,-18.89585,4,46.007154,26.178924,15.070918,35.233168,40.665801,9.506653
411,polinomio,0.999996,0.999992,0.999755,8,-2.841774,6,10.781528,49.624447,22.675919,6.13244,53.656771,9.559799
412,polinomio,0.999985,0.999946,0.999503,8,-37.662221,8,13.087181,8.171298,6.142704,32.407883,15.095271,8.163161
413,polinomio,1.0,1.0,0.999968,6,-21.056918,2,0.574408,5.400314,5.689253,4.266994,28.288775,7.034591
414,gaussianas,0.999993,0.999993,0.999534,7,13.321248,8,7.286379,30.204263,16.525333,45.738489,73.69347,21.165937
415,polinomio,0.999994,0.999987,0.998472,8,29.289021,2,1.915309,20.850068,5.71735,1.819824,29.179764,5.94295
416,polinomio,0.999998,0.999987,0.999572,8,-14.085077,3,22.030503,14.156839,14.598216,53.365114,46.157896,17.213508
417,polinomio,1.0,0.999994,0.999931,8,-1.601971,2,0.666677,10.583706,3.315181,19.514091,30.878445,10.315613
418,gaussianas,0.999671,0.999671,0.99932,8,-43.229994,20,34.527403,27.170515,21.576449,21.871455,75.886984,15.673993
419,gaussianas,0.999796,0.999796,0.99949,8,22.348445,14,19.474426,20.310071,13.853893,44.335681,65.254701,24.016496
420,gaussianas,0.999861,0.999861,0.99872,8,3.260084,16,6.694817,18.254412,7.648788,55.298873,43.622569,27.789758
421,gaussianas,0.999921,0.999921,0.999729,8,18.36097,12,1.5,16.338211,2.512736,2.582778,46.032492,7.457543
422,polinomio,1.0,0.999999,0.999591,8,-11.521579,6,11.784305,21.280155,9.441516,29.749508,38.365939,10.974147
423,polinomio,0.999908,0.999873,0.998311,6,19.555392,7,4.443018,24.441604,7.166493,35.112853,50.258267,19.782615
424,polinomio,0.999986,0.999983,0.999782,8,-0.584339,10,1.151355,11.788098,4.264104,43.082886,41.593644,15.641965
425,polinomio,1.0,0.999987,0.999814,8,-8.448797,3,35.069001,20.936314,18.212609,45.700706,48.657827,15.460309
426,gaussianas,0.999972,0.999972,0.998958,6,27.23501,7,14.959878,38.118357,23.908743,11.153115,58.838791,14.635262
427,gaussianas,0.999962,0.999962,0.999671,8,-22.032633,8,1.174692,23.743002,5.037389,30.491912,14.612786,15.387946
428,gaussianas,0.999887,0.999887,0.998752,8,19.70528,14,25.845272,23.963304,16.10414,45.047372,60.275925,23.568811
429,gaussianas,0.999991,0.999991,0.999527,8,11.0891,10,35.96341,26.299698,15.376521,19.849862,55.918813,10.400019
430,spline,0.999323,0.999251,0.999323,8,24.083867,17,3.991626,31.344557,9.550324,18.158353,68.45362,8.451182
431,gaussianas,0.999777,0.999777,0.999716,8,10.797537,12,6.567778,21.186835,7.96789,15.778705,36.071406,11.648187
432,spline,0.999719,0.998422,0.999719,8,-12.653361,17,24.403811,25.844323,9.924153,60.659534,61.486437,18.358184
433,gaussianas,0.999999,0.999999,0.999781,8,-53.583922,11,42.278466,17.63819,11.564275,17.983647,36.007794,10.468026
434,gaussianas,0.999986,0.999986,0.999718,8,27.82675,17,2.461645,33.908548,8.121481,8.25619,42.507244,21.469427
435,gaussianas,0.999997,0.999997,0.999437,8,-21.217992,8,29.506762,3.936191,22.196612,27.762902,25.135504,16.031342
436,polinomio,1.0,0.999836,0.999837,8,27.690231,2,4.080868,8.640366,3.84201,1.5,43.925679,3.49539
437,gaussianas,1.0,1.0,0.999446,8,-24.350456,4,9.70192,12.01566,4.833935,5.369539,18.879845,5.159853
438,gaussianas,1.0,1.0,0.999614,8,-16.486598,7,8.493132,4.722214,9.343064,30.31152,22.030621,11.612425
439,gaussianas,1.0,1.0,0.999295,8,-25.037337,5,16.31338,5.251319,13.211671,0.077701,15.150195,2.066333
440,gaussianas,0.99996,0.99996,0.999702,8,-7.748031,10,6.527482,24.715465,10.220021,94.90725,54.328089,23.674875
441,gaussianas,0.999999,0.999999,0.999792,8,-52.830759,8,1.408191,28.83568,4.142135,1.483728,46.011726,7.174037
442,polinomio,0.999864,0.999597,0.999476,8,15.582328,8,11.219772,11.607741,7.677936,33.52961,28.916141,15.789182
443,gaussianas,0.999992,0.999992,0.999803,8,8.90448,12,19.113645,19.806655,11.376558,32.426073,34.341324,22.636493
444,spline,0.999596,0.999576,0.999596,8,22.719687,18,13.1579,17.778416,20.33698,19.300615,75.168809,11.593346
445,gaussianas,0.999903,0.999903,0.999375,8,21.309098,17,29.952601,49.362775,15.251293,11.75625,59.810921,7.623659
446,spline,0.999221,0.991707,0.999221,8,-38.562781,19,51.45951,17.170371,12.850161,59.351984,39.244112,20.828886
447,polinomio,0.999999,0.999908,0.99585,8,29.391208,3,11.70934,9.248645,5.942032,17.593533,20.231298,10.178985
448,gaussianas,0.999998,0.999998,0.999699,8,-19.566255,10,36.424405,29.716985,20.330903,15.905627,50.973249,14.017819
449,gaussianas,0.999487,0.999487,0.999037,8,12.856854,18,14.718937,15.581795,8.063755,50.040992,46.17303,29.460357
450,gaussianas,0.999879,0.999879,0.999515,8,14.389092,16,9.58939,47.491017,11.064656,50.284765,69.703293,22.948206
451,polinomio,0.999997,0.999979,0.999799,8,-15.796299,7,6.920851,7.941357,9.884527,33.262256,27.631785,16.34756
