y_pred,params,r2,rmse,mae,max_ae,n_campanas,metodo_init,method,converged,mensaje,x_eval,curva_id,escala
"[44.87253886 44.87289251 44.87324692 ... 44.72360112 44.72360079
 44.72360046]",[ 51.54445002  93.03235875 -24.17890355  44.72356842],0.8714816561167187,6.450818971016707,5.15256693659147,13.950399068423707,1,altura,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[44.87253886 44.87289251 44.87324692 ... 44.72360112 44.72360079
 44.72360046]",[ 51.54445002  93.03235875 -24.17890355  44.72356842],0.8714816561167187,6.450818971016707,5.15256693659147,13.950399068423707,1,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[44.87240127 44.87275496 44.87310942 ... 44.72344063 44.7234403
 44.72343998]",[ 51.54430089  93.03230447 -24.17921157  44.72340792],0.8714811240638145,6.450832323870906,5.152586301313067,13.950431681351539,1,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[33.19862077 33.19622328 33.19387077 ... 32.82451808 32.82414982
 32.82410079]","[-26.27293355  10.8         12.47058824  -3.47293355  36.
  12.47058824  12.12706645  65.2         12.47058824  36.12706645
  98.4         12.47058824   5.72706645 123.2         12.47058824
  -4.27293355 152.4         12.47058824 -19.07293355 187.6
  12.47058824 -26.67293355 222.8         12.47058824  59.87293355]",0.8393107579599006,7.213162153616614,5.770509661308071,14.103985193845823,8,uniforme,lm,False,No convergió: Optimal parameters not found: Number of calls to f...,"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[51.26091049 51.24608318 51.23127388 ... 37.61243362 37.62029643
 37.62818429]","[-102.88354438   16.47802674  -37.72232471 -142.47946635  208.15874023
  107.33762724  178.87713994]",0.7811452694281747,8.418026012459926,7.125034529599851,17.660910485234815,2,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[51.26093325 51.24610205 51.23128886 ... 37.61074267 37.61860005
 37.62648247]","[-142.66470924  208.16484194  107.4223242  -102.9617714    16.46442902
   37.73091963  179.06207221]",0.7811439902248809,8.418050614054872,7.1250187309685185,17.660933248245918,2,altura,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[34.16679947 34.16754676 34.1683092  ... 33.18475832 33.18366474
 33.18266997]","[-26.27293355  10.8         23.55555556  23.72706645  74.8
  23.55555556  -9.87293355 140.4         23.55555556 -26.67293355
 222.8         23.55555556  59.87293355]",0.5505305639321438,12.063751336757052,9.460609119852236,26.766562638885418,4,uniforme,lm,False,No convergió: Optimal parameters not found: Number of calls to f...,"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[33.74209767 33.74188038 33.74168353 ... 33.19219387 33.19047587
 33.18890585]","[-26.27293355  10.8         19.27272727   3.72706645  60.
  19.27272727  22.92706645 114.8         19.27272727  -3.07293355
 161.2         19.27272727 -26.67293355 222.8         19.27272727
  59.87293355]",0.47430141725127617,13.046700634908804,10.919590011994275,23.408623430811787,5,uniforme,lm,False,No convergió: Optimal parameters not found: Number of calls to f...,"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[60.50548004 60.50636629 60.50725374 ... 59.52844104 59.52949278
 59.53054217]","[ 1.27066451e-01  2.92000000e+01  3.02857143e+01  3.61270665e+01
  9.84000000e+01  3.02857143e+01 -3.07293355e+00  1.59200000e+02
  3.02857143e+01  5.98729335e+01]",0.33982927238691507,14.620439432788094,11.988428004103941,26.928913793923527,3,prominencia,lm,False,No convergió: Optimal parameters not found: Number of calls to f...,"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[59.92278827 59.92288501 59.92298187 ... 57.25397321 57.27373171
 57.29337556]","[ 1.27066451e-01  2.76000000e+01  1.24705882e+01  9.32706645e+00
  6.36000000e+01  1.24705882e+01  3.41270665e+01  9.00000000e+01
  1.24705882e+01  3.61270665e+01  9.80000000e+01  1.24705882e+01
  1.93270665e+01  1.17200000e+02  1.24705882e+01 -3.07293355e+00
  1.56800000e+02  1.24705882e+01 -6.67293355e+00  1.70000000e+02
  1.24705882e+01 -2.22729335e+01  1.96400000e+02  1.24705882e+01
  5.98729335e+01]",0.2962024715824009,15.095801027535163,11.76958499502325,35.578389782569204,8,grid_search,lm,False,No convergió: Optimal parameters not found: Number of calls to f...,"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
"[59.9351825  59.93527963 59.93537684 ... 57.45279792 57.46899832
 57.4851151 ]","[ 1.27066451e-01  2.76000000e+01  1.41333333e+01  2.01270665e+01
  7.12000000e+01  1.41333333e+01  3.61270665e+01  9.80000000e+01
  1.41333333e+01  3.53270665e+01  1.02000000e+02  1.41333333e+01
 -3.07293355e+00  1.56800000e+02  1.41333333e+01 -3.47293355e+00
  1.62400000e+02  1.41333333e+01 -2.10729335e+01  1.92800000e+02
  1.41333333e+01  5.98729335e+01]",0.23277137682501103,15.76139643355707,12.465764298149956,37.73561496664007,7,grid_search,lm,False,No convergió: Optimal parameters not found: Number of calls to f...,"[ 10.35286858  10.36963621  10.38640384 ... 222.20534971 222.25092948
 222.29650929]",250,25
